Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-11,1,0.08499999999999999,0.0,0.0,3486.898089,594.804237,3486.898089,219.19,12.02,217.75,9.4,99.95,0.1527627986961381,-7.4324819931921295,-5.754842432323821,-9.31615853761902,-7.595366357322614
2023-01-11,2,0.604,0.0,0.0,6356.285924,2137.300484,6356.285924,219.81,11.84,218.12,8.55,99.29,0.2022770459127733,-6.72645247629197,-5.278005028813976,-9.095154013422096,-7.580486361186327
2023-01-11,3,0.0,270.9015,6364.375227,8110.502336,933.735619,14745.779063,216.5,11.54,215.19,8.84,100.05,0.1656058816380808,-7.224450151994852,-5.094400848121549,-9.27650817152269,-6.864254959110476
2023-01-11,4,0.08299999999999999,0.0,0.0,3714.96384,1333.294272,3714.96384,223.56,11.36,221.88,8.38,99.54,0.1890414637610142,-6.239283902353463,-5.594259234772102,-8.232059558924849,-7.828332863280278
2023-01-11,5,0.019,3106.25609,3677.11646,15177.652002,2484.915481,21961.024552,226.56,12.17,225.19,9.0,99.68,0.1874873999997013,-6.342822384183511,-6.38502969473914,-8.368026137602554,-8.836573915290954
2023-01-11,6,0.109,0.02,0.0,11640.91879,3871.0916030000003,11640.93879,215.0,12.44,213.56,9.42,99.49,0.1727820604786131,-7.849755499670575,-5.207469500188316,-10.190251430955058,-7.135290868207014
2023-01-11,7,0.003,1035.215622,0.0,13996.473516,865.528727,15031.689138,224.31,12.66,223.0,9.22,99.38,0.1970081459482894,-6.743081128928753,-6.288024879776235,-9.059126661476563,-8.843518764118981
2023-01-11,8,0.0,0.0,0.0,404.85402,160.595,404.85402,208.94,12.68,207.88,10.87,100.63,0.0956975392999313,-9.608307301287176,-5.083043458798238,-11.096609332030496,-6.135769009039836
2023-01-11,9,0.0,597.4086,0.0,374.594674,13376.541796,972.003274,215.06,11.18,213.75,8.6,100.12,0.1630160830936892,-7.150638665801889,-4.77790400396858,-9.15139959203122,-6.422171401245128
2023-01-11,10,0.119,59.6596,8506.609923,5630.536957,3690.252746,14196.80648,220.88,11.83,219.25,8.92,99.4,0.1754294025367929,-6.907582385213096,-5.643731530777642,-8.944449714241077,-7.742462096091442
2023-01-12,1,0.033,0.0,0.0,2853.29692,829.09132,2853.29692,215.56,9.41,214.5,7.33,99.49,0.155207874605698,-6.040844962599374,-4.151757716659025,-7.65510050644962,-5.472434214876848
